@relation ocrTime

@attribute area numeric
@attribute current_battery numeric
@attribute target {local, mcc}
@attribute time numeric
@attribute time_class {short, medium, long}

@data
700000,100, mcc, 1000, short 
72118, 108000.0, local, 2085358593, short
72118, 108000.0, local, 7490478331, short
72118, 105600.0, local, 269596615, short
354040, 100800.0, local, 9521552080, short
354040, 100800.0, local, 11411306871, medium
354040, 100800.0, local, 2886060832, short
103248, 96000.0, local, 125467999067, long
308880, 93600.0, local, 1449900103, short
308880, 93600.0, local, 3400742446, short
348660, 88800.0, local, 15382353744, medium
348660, 88800.0, local, 17651805671, medium
497260, 86400.0, local, 34132289570, long
497260, 86400.0, local, 35544155142, long
789748, 81600.0, local, 9539592392, short
789748, 81600.0, local, 11038053068, medium
789748, 79200.0, local, 1504575051, short
789748, 79200.0, local, 1851505052, short
789748, 79200.0, local, 17170656139, medium
789748, 79200.0, local, 23144897022, long
789748, 69600.0, local, 61073883258, long
789748, 69600.0, local, 62844515236, long
243402, 67200.0, local, 20595063169, medium
243402, 67200.0, local, 22689996346, long
359294, 57600.0, local, 22677318949, long
359294, 57600.0, local, 24650918428, long
307700, 57600.0, local, 8055357653, short
307700, 57600.0, local, 9812036298, medium
