@relation ocrTime

@attribute area numeric
@attribute current_battery numeric
@attribute target {local, mcc}
@attribute time numeric
@attribute time_class {short, medium, long}

@data
700000,100, mcc, 1000, short 
72118, 108000.0, local, 3014702968, short
72118, 108000.0, local, 8614849060, short
72118, 105600.0, local, 4411069478, short
72118, 105600.0, local, 5852805519, short
354040, 100800.0, mcc, 12674121610, medium
354040, 100800.0, mcc, 10852724528, medium
379168, 96000.0, local, 377238802, short
379168, 96000.0, local, 12238219892, medium
379168, 96000.0, local, 16467232598, medium
348660, 88800.0, local, 26123463010, long
348660, 88800.0, local, 28482675457, long
497260, 86400.0, local, 33239567383, long
497260, 86400.0, local, 35071669257, long
789748, 84000.0, mcc, 13879567391, medium
789748, 81600.0, mcc, 11600009267, medium
789748, 76800.0, mcc, 14219689005, medium
789748, 69600.0, mcc, 15085290723, medium
243402, 67200.0, mcc, 9540635830, short
359294, 57600.0, mcc, 10072393798, medium
307700, 57600.0, mcc, 7134069528, short
